type,section,longitude,latitude
commuter,a19,39.258597720639976, -76.70811495695979

commuter,a20,39.25870402942541, -76.70793397435098
commuter,a20,39.25905774658943, -76.70838830312356
commuter,a20,39.25920754431198, -76.70863793429983
commuter,a20,39.259315785042, -76.70885636159434
commuter,a20,39.259431865142055, -76.70911353909733
commuter,a20,39.25952339425583, -76.70936375170939
commuter,a20,39.259662213180356, -76.70984250498486
commuter,a20,39.25973085980049, -76.71016167383259
commuter,a20,39.259787302526114, -76.71051236552988
commuter,a20,39.25979950635264, -76.7108000115269
commuter,a20,39.259805608265, -76.71103446272444
commuter,a20,39.259796455396994, -76.71131816836487
commuter,a20,39.25976136938888, -76.71179889181981
commuter,a20,39.25966221318415, -76.71235251186297
commuter,a20,39.25960424487451, -76.71257514197671
commuter,a20,39.259498986509286, -76.71289825119015
commuter,a20,39.25945322195165, -76.71304995489754
commuter,a20,39.25941524320381, -76.71312888226586
commuter,a20,39.259181331511826, -76.71355181992843
commuter,a20,39.2589701781217, -76.71389474234644

residential,c1,39.25909253834481, -76.71339340842519
residential,c1,39.259178551222526, -76.71323239630522
residential,c1,39.259295489909476, -76.71297277986375
residential,c1,39.25940469694585, -76.71269444110102
residential,c1,39.25947621296009, -76.71246852487072
residential,c1,39.25958445327885, -76.71198174405417
residential,c1,39.25963470765548, -76.71152117451348
residential,c1,39.25965017053454, -76.71113674248535
residential,c1,39.259631808366585, -76.7106923989702
residential,c1,39.25960764761187, -76.71047147537425
residential,c1,39.259533232437036, -76.71006457653814
residential,c1,39.259435622803146, -76.7096639184722
residential,c1,39.25939986478245, -76.70954159919937
residential,c1,39.25930418783193, -76.70926950119821
residential,c1,39.25902875345328, -76.7086965976266
residential,c1,39.258751385106144, -76.70828345801556
residential,c1,39.258750418663986, -76.70828096170362
residential,c1,39.258597720639976, -76.70811495695979

residential,c2,39.25870402942541, -76.70793397435098
residential,c2,39.25905774658943, -76.70838830312356
residential,c2,39.25920754431198, -76.70863793429983
residential,c2,39.259315785042, -76.70885636159434
residential,c2,39.259431865142055, -76.70911353909733
residential,c2,39.25952339425583, -76.70936375170939
residential,c2,39.259662213180356, -76.70984250498486
residential,c2,39.25973085980049, -76.71016167383259
residential,c2,39.259787302526114, -76.71051236552988
residential,c2,39.25979950635264, -76.7108000115269
residential,c2,39.259805608265, -76.71103446272444
residential,c2,39.259796455396994, -76.71131816836487
